ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"AT0000A0E9W5","SANT","S+T AG (Z.REG.MK.Z.)O.N.","Common stock","EUR",2504159,2017-07-28,15:00,14.775,14.775,14.775,14.775,831,2
"CH0038389992","BBZA","BB BIOTECH NAM.   SF 0,20","Common stock","EUR",2504244,2017-07-28,15:00,53.14,53.15,53.14,53.14,50,2
"CH0038863350","NESR","NESTLE NAM.        SF-,10","Common stock","EUR",2504245,2017-07-28,15:00,71.89,71.9,71.89,71.9,595,4
"CH0244767585","0UB","UBS GROUP AG      SF -,10","Common stock","EUR",2504253,2017-07-28,15:00,14.79,14.79,14.79,14.79,650,2
"CH0303692047","ED4","EDAG ENGINEERING G.SF-,04","Common stock","EUR",2504254,2017-07-28,15:00,13.98,13.98,13.98,13.98,33,1
"DE0005933931","EXS1","ISHS CORE DAX UCITS ETF","ETF","EUR",2504265,2017-07-28,15:00,105.71,105.71,105.71,105.71,100,1
"DE000A0BVU28","OSP2","USU SOFTWARE AG","Common stock","EUR",2504280,2017-07-28,15:00,26.79,26.79,26.79,26.79,23,1
"DE000A0CAYB2","WIN","DIEBOLD NIXDORF  INH.O.N.","Common stock","EUR",2504286,2017-07-28,15:00,71.99,71.99,71.99,71.99,80,1
"DE000A0DJ6J9","S92","SMA SOLAR TECHNOL.AG","Common stock","EUR",2504287,2017-07-28,15:00,31.74,31.74,31.705,31.705,409,7
"DE000A0D6554","NDX1","NORDEX SE O.N.","Common stock","EUR",2504290,2017-07-28,15:00,11.575,11.575,11.575,11.575,856,1
"DE000A0D9PT0","MTX","MTU AERO ENGINES NA O.N.","Common stock","EUR",2504297,2017-07-28,15:00,125.15,125.15,125,125.15,3008,54
"DE000A0ETBQ4","MBB","MBB SE O.N.","Common stock","EUR",2504301,2017-07-28,15:00,91.21,91.35,91.21,91.3,745,12
"DE000A0HL8N9","2GB","2G ENERGY AG","Common stock","EUR",2504311,2017-07-28,15:00,21.695,21.695,21.695,21.695,24,1
"DE000A0HN5C6","DWNI","DEUTSCHE WOHNEN AG INH","Common stock","EUR",2504314,2017-07-28,15:00,33.76,33.76,33.755,33.755,280,3
"DE000A0JRU67","XMY","MYBET HOLDING SE NA O.N.","Common stock","EUR",2504346,2017-07-28,15:00,0.9,0.9,0.9,0.9,1500,1
"DE000A0LAUP1","CE2","CROPENERGIES AG","Common stock","EUR",2504376,2017-07-28,15:00,9.063,9.063,9.063,9.063,17,1
"DE000A0LD6E6","GXI","GERRESHEIMER AG","Common stock","EUR",2504380,2017-07-28,15:00,69.41,69.41,69.37,69.37,983,19
