ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"AT0000818802","DOQ","DO + CO AG","Common stock","EUR",2504180,2017-07-28,19:30,60.65,60.65,60.65,60.65,0,1
"AT0000837307","T9Z","ZUMTOBEL GROUP AG INH. A","Common stock","EUR",2504186,2017-07-28,19:30,16.84,16.84,16.84,16.84,0,1
"DE000A0BVVK7","FAM1","DT.CANNABIS AG   O.N.","Common stock","EUR",2504282,2017-07-28,19:30,1.033,1.033,1.033,1.033,0,1
"DE000A2DA6T5","FAM2","DT.CANNABIS AG  JGE O.N.","Common stock","EUR",2504645,2017-07-28,19:30,0.626,0.626,0.626,0.626,0,1
"DE0005854343","E4C","ECOTEL COMMUNICATION AG","Common stock","EUR",2504979,2017-07-28,19:30,9.294,9.294,9.294,9.294,0,1
"IE00BMP3HG27","UBUM","UBS I.ETF-DL G.SEL.DIV.AD","ETF","EUR",2505450,2017-07-28,19:30,8.74,8.74,8.74,8.74,0,1
"IE00BMP3HJ57","UBUN","UBS I.ETF-MSCI EMU CYC.AD","ETF","EUR",2505451,2017-07-28,19:30,22.49,22.49,22.49,22.49,0,1
"IE00BMP3HL79","UBUP","UBS I.ETF-MSCI EMU DEF.AD","ETF","EUR",2505452,2017-07-28,19:30,22.04,22.04,22.04,22.04,0,1
"IE00BX7RQY03","UBUR","UBS(I)-F.MSCI US.L.V.ADDL","ETF","EUR",2505519,2017-07-28,19:30,15.86,15.86,15.86,15.86,0,1
"IE00BX7RRJ27","UBUT","UBS(I)-FA.MSCI US.QU.ADDL","ETF","EUR",2505520,2017-07-28,19:30,16.36,16.36,16.36,16.36,0,1
"IE00BX7RRT25","UBUU","UBS(I)-F.M.US.T.S.YL.ADDL","ETF","EUR",2505521,2017-07-28,19:30,16.82,16.82,16.82,16.82,0,1
"IE00BX7RR706","UBUS","UBS(I)-F.MSCI US.P.V.ADDL","ETF","EUR",2505522,2017-07-28,19:30,15.81,15.81,15.81,15.81,0,1
"IE00B5PYL424","UBUB","UBS(I)-SOL.G.O.E.U.E.ADDL","ETF","EUR",2505711,2017-07-28,19:30,9.785,9.785,9.785,9.785,0,1
"IE00B5TZCY80","UIQS","UBS ETFS-MSCI CA SF AACD","ETF","EUR",2505712,2017-07-28,19:30,40.25,40.25,40.25,40.25,0,1
"IE00B7KMNP07","UBUD","UBS(I)-S.G.P.G.M.U.E.ADDL","ETF","EUR",2505765,2017-07-28,19:30,9.66,9.66,9.66,9.66,0,1
"IE00B7KQ7B66","UBU7","UBS(I)-MSCI WOR. U.E.ADDL","ETF","EUR",2505766,2017-07-28,19:30,41.48,41.48,41.48,41.48,0,1
"IE00B7K93397","UBU9","UBS(I.)ETF-SP500 U.E.ADDL","ETF","EUR",2505767,2017-07-28,19:30,33.75,33.75,33.75,33.75,0,1
"IE00B77D4428","UBU3","UBS I.-MSCI USA U.E. ADDL","ETF","EUR",2505775,2017-07-28,19:30,50.67,50.67,50.67,50.67,0,1
"IE00B78JSG98","UBU5","UBS(I)-MSCI US.V.U.E.ADDL","ETF","EUR",2505776,2017-07-28,19:30,60.68,60.68,60.68,60.68,0,1
"LU0136234654","UIM6","UBS-ETF-MSCI USA INH.A","ETF","EUR",2505812,2017-07-28,19:30,201.08,201.08,201.08,201.08,0,1
"LU0136240974","UIM5","UBS-ETF-MSCI JAPAN INH.A","ETF","EUR",2505813,2017-07-28,19:30,36.71,36.71,36.71,36.71,0,1
"LU0136242590","UIM3","UBS-ETF FTSE 100 INH.A","ETF","EUR",2505814,2017-07-28,19:30,75.77,75.77,75.77,75.77,0,1
"LU0147308422","UIM4","UBS-ETF-MSCI EMU A","ETF","EUR",2505815,2017-07-28,19:30,121.01,121.01,121.01,121.01,0,1
"LU0340285161","UIM7","UBS-ETF-MSCI WORLD INH. A","ETF","EUR",2505890,2017-07-28,19:30,165.74,165.74,165.74,165.74,0,1
"LU0446734104","UIMA","UBS-ETF-MSCI EUROPE A","ETF","EUR",2505965,2017-07-28,19:30,61.99,61.99,61.99,61.99,0,1
"LU0446734369","UIME","UBS-ETF-MSCI EMU VALUE A","ETF","EUR",2505966,2017-07-28,19:30,39.6,39.6,39.6,39.6,0,1
"LU0446734526","UIMD","UBS-ETF-MSCI PAC.EX JAP.A","ETF","EUR",2505967,2017-07-28,19:30,36.66,36.66,36.66,36.66,0,1
"LU0446734872","UIM9","UBS-ETF-MSCI CANADA A","ETF","EUR",2505968,2017-07-28,19:30,26.26,26.26,26.26,26.26,0,1
"LU0480132876","UIMI","UBS-ETF-MSCI EMERG.MKTS A","ETF","EUR",2505976,2017-07-28,19:30,89.07,89.07,89.07,89.07,0,1
"LU0629459743","UIMM","UBS-ETF-MSCI WLD.S.RESP.A","ETF","EUR",2506031,2017-07-28,19:30,72.45,72.45,72.45,72.45,0,1
"LU0629460089","UIMP","UBS ETF-MSCI USA S.R.ADDL","ETF","EUR",2506032,2017-07-28,19:30,82.94,82.94,82.94,82.94,0,1
"LU0629460675","UIMR","UBS E.-MSCI EMU S.R.EOAD","ETF","EUR",2506033,2017-07-28,19:30,89.49,89.49,89.49,89.49,0,1
"LU0629460832","UIMT","UBS-ETF-MSCI PAC.S.RESP.A","ETF","EUR",2506034,2017-07-28,19:30,58.3,58.3,58.3,58.3,0,1
"LU0671493277","UEFD","UBS-ETF-MSCI EMU SM.CAP.A","ETF","EUR",2506045,2017-07-28,19:30,95.71,95.71,95.71,95.71,0,1
"LU0721552544","UEFF","UBS-BB.US1-3YTB.UETF ADL","ETF","EUR",2506049,2017-07-28,19:30,21.18,21.18,21.18,21.18,0,1
"LU0721552973","UEFI","UBS-BB.US710Y.TBUETF ADL","ETF","EUR",2506050,2017-07-28,19:30,35.98,35.98,35.98,35.98,0,1
"LU0721553864","UEFR","UBS-ETF-M.IB.EO LIQ.C.AEO","ETF","EUR",2506052,2017-07-28,19:30,101.8,101.8,101.8,101.8,0,1
"LU0879399441","UEFZ","UBS-E.SBI F.AAA-BBB5-10AD","ETF","EUR",2506070,2017-07-28,19:30,12.49,12.49,12.49,12.49,0,1
"LU0937835576","FRCA","UBS-E.-M.EMU H.T.DL ADDL","ETF","USD",2506074,2017-07-28,19:30,24.19,24.19,24.19,24.19,0,1
"LU1048313891","UEF5","UBS-ETF-MSCI E.MA.S.R.ADL","ETF","EUR",2506090,2017-07-28,19:30,11.46,11.46,11.46,11.46,0,1
"LU1048314196","UEF6","UBS-BBEALC1-5Y.UETF AEO","ETF","EUR",2506091,2017-07-28,19:30,13.66,13.66,13.66,13.66,0,1
"LU1048314949","UEF7","UBS-BBUSLC1-5YUETF ADL","ETF","EUR",2506092,2017-07-28,19:30,12.27,12.27,12.27,12.27,0,1
"LU1048316647","UEF9","UBS-B.B.US L.C.UETF ADL","ETF","EUR",2506094,2017-07-28,19:30,14.12,14.12,14.12,14.12,0,1
"LU1215451524","UIM2","UBS-ETF-FA.MS.EMU QU EOAD","ETF","EUR",2506108,2017-07-28,19:30,17.8,17.8,17.8,17.8,0,1
"LU1215452928","UIMZ","UBS-ETF-FA.MS.EMU PV EOAD","ETF","EUR",2506109,2017-07-28,19:30,16.28,16.28,16.28,16.28,0,1
"LU1215454460","UIMY","UBS-ETF-FA.MS.EMU LV EOAD","ETF","EUR",2506110,2017-07-28,19:30,14.32,14.32,14.32,14.32,0,1
"LU1215455947","UIM8","UBS-ETF-F.M.EMU TSY EOAD","ETF","EUR",2506111,2017-07-28,19:30,16.74,16.74,16.74,16.74,0,1
"LU1230561679","FRCJ","UBS-ETF-MSCI JAP.S.R.ADYN","ETF","EUR",2506117,2017-07-28,19:30,17.61,17.61,17.61,17.61,0,1
"LU1324516050","UEFS","UBS-BB.DL EM.S.UETF ADDL","ETF","EUR",2506152,2017-07-28,19:30,10.04,10.04,10.04,10.04,0,1
