ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"CH0038389992","BBZA","BB BIOTECH NAM.   SF 0,20","Common stock","EUR",2504244,2017-07-28,13:00,53.27,53.27,53.27,53.27,80,1
"CH0038863350","NESR","NESTLE NAM.        SF-,10","Common stock","EUR",2504245,2017-07-28,13:00,71.85,71.85,71.83,71.85,130,3
"LU0292106241","DXSN","DB X-TR.SHORTDAX DAILY 1C","ETF","EUR",2504270,2017-07-28,13:00,22.28,22.28,22.28,22.28,1300,1
"DE000A0DJ6J9","S92","SMA SOLAR TECHNOL.AG","Common stock","EUR",2504287,2017-07-28,13:00,31.525,31.525,31.35,31.455,2928,16
"DE000A0D6554","NDX1","NORDEX SE O.N.","Common stock","EUR",2504290,2017-07-28,13:00,11.57,11.57,11.565,11.565,529,3
"DE000A0D9PT0","MTX","MTU AERO ENGINES NA O.N.","Common stock","EUR",2504297,2017-07-28,13:00,125.15,125.2,125.1,125.1,192,7
"DE000A0EQ578","H5E","HELMA EIGENHEIMBAU AG","Common stock","EUR",2504300,2017-07-28,13:00,41.55,41.55,41.55,41.55,60,1
"DE000A0HN5C6","DWNI","DEUTSCHE WOHNEN AG INH","Common stock","EUR",2504314,2017-07-28,13:00,33.895,33.895,33.895,33.895,177,2
"DE000A0JK2A8","AR4","AURELIUS EQ.OPP.   O.N.","Common stock","EUR",2504340,2017-07-28,13:00,50.56,50.56,50.56,50.56,15,1
"DE000A0WMPJ6","AIXA","AIXTRON SE NA O.N.","Common stock","EUR",2504428,2017-07-28,13:00,7.365,7.368,7.351,7.351,9461,10
"DE000A0Z2ZZ5","FNTN","FREENET AG NA O.N.","Common stock","EUR",2504438,2017-07-28,13:00,28.695,28.695,28.695,28.695,152,2
"DE000A1DAHH0","BNR","BRENNTAG AG NA O.N.","Common stock","EUR",2504453,2017-07-28,13:00,47.765,47.765,47.765,47.765,18,1
"DE000A1EWWW0","ADS","ADIDAS AG NA O.N.","Common stock","EUR",2504471,2017-07-28,13:00,189.4,189.45,189.35,189.4,1090,9
"DE000A1J5RX9","O2D","TELEFONICA DTLD HLDG AG","Common stock","EUR",2504492,2017-07-28,13:00,4.343,4.343,4.343,4.343,1557,2
"DE000A1ML7J1","VNA","VONOVIA SE NA O.N.","Common stock","EUR",2504501,2017-07-28,13:00,34.515,34.52,34.515,34.52,921,3
"DE000A1PHFF7","BOSS","HUGO BOSS AG NA O.N.","Common stock","EUR",2504512,2017-07-28,13:00,63.46,63.47,63.45,63.45,458,7
"DE000A11QW50","ECX","EPIGENOMICS AG NA O.N.","Common stock","EUR",2504547,2017-07-28,13:00,5.01,5.01,5.01,5.01,1734,1
"DE000A12DM80","G24","SCOUT24 AG NA O.N.","Common stock","EUR",2504556,2017-07-28,13:00,31.795,31.795,31.795,31.795,4,1
"DE000A161440","AD1","AUDEN AG   INH.EO 1","Common stock","EUR",2504609,2017-07-28,13:00,0.58,0.58,0.58,0.58,5000,1
"DE000A2AADD2","IGY","INNOGY SE  INH. O.N.","Common stock","EUR",2504618,2017-07-28,13:00,35.295,35.3,35.285,35.29,1796,4
"DE000BASF111","BAS","BASF SE NA O.N.","Common stock","EUR",2504663,2017-07-28,13:00,79.56,79.56,79.55,79.55,501,4
"DE000BAY0017","BAYN","BAYER AG NA O.N.","Common stock","EUR",2504664,2017-07-28,13:00,106.85,106.85,106.8,106.8,251,2
"DE000CBK1001","CBK","COMMERZBANK AG","Common stock","EUR",2504665,2017-07-28,13:00,11.115,11.115,11.11,11.11,18553,5
"DE000ENAG999","EOAN","E.ON SE NA O.N.","Common stock","EUR",2504666,2017-07-28,13:00,8.293,8.296,8.293,8.296,5687,4
"DE000KC01000","KCO","KLOECKNER + CO SE NA O.N.","Common stock","EUR",2504810,2017-07-28,13:00,9.266,9.266,9.266,9.266,263,2
"DE000KSAG888","SDF","K+S AG NA O.N.","Common stock","EUR",2504812,2017-07-28,13:00,22.005,22.005,21.995,21.995,1210,3
"DE000LED4000","OSR","OSRAM LICHT AG NA O.N.","Common stock","EUR",2504813,2017-07-28,13:00,68.93,68.93,68.92,68.92,141,2
"DE000LEG1110","LEG","LEG IMMOBILIEN AG NA O.N.","Common stock","EUR",2504814,2017-07-28,13:00,81.68,81.68,81.68,81.68,38,1
"DE000PAH0038","PAH3","PORSCHE AUTOM.HLDG VZO","Common stock","EUR",2504816,2017-07-28,13:00,48.745,48.745,48.745,48.745,42,2
"DE000PAT1AG3","P1Z","PATRIZIA IMMOBILIEN NA ON","Common stock","EUR",2504817,2017-07-28,13:00,15.265,15.265,15.265,15.265,351,1
"DE000PSM7770","PSM","PROSIEBENSAT.1  NA O.N.","Common stock","EUR",2504848,2017-07-28,13:00,33.2,33.2,33.2,33.2,270,3
"DE000SHA0159","SHA","SCHAEFFLER AG INH. VZO","Common stock","EUR",2504849,2017-07-28,13:00,12.065,12.065,12.065,12.065,793,3
"DE000STRA555","SBS","STRATEC BIOMEDICAL  NA ON","Common stock","EUR",2504851,2017-07-28,13:00,52.29,52.29,52.29,52.29,41,1
"DE000VTG9999","VT9","VTG AG O.N.","Common stock","EUR",2504857,2017-07-28,13:00,41.425,41.425,41.415,41.425,100,2
"DE000WACK012","WAC","WACKER NEUSON SE NA O.N.","Common stock","EUR",2504858,2017-07-28,13:00,22.685,22.685,22.68,22.68,100,4
"DE000WCH8881","WCH","WACKER CHEMIE        O.N.","Common stock","EUR",2504860,2017-07-28,13:00,101.9,101.9,101.8,101.8,243,6
"DE000ZAL1111","ZAL","ZALANDO SE","Common stock","EUR",2504863,2017-07-28,13:00,37.815,37.815,37.805,37.805,397,2
"DE0005089031","UTDI","UTD.INTERNET AG NA","Common stock","EUR",2504878,2017-07-28,13:00,51.24,51.24,51.24,51.24,94,1
"DE0005111702","ZO1","ZOOPLUS AG","Common stock","EUR",2504885,2017-07-28,13:00,162.75,162.95,162.75,162.95,76,2
"DE0005137004","QSC","QSC AG NA O.N.","Common stock","EUR",2504887,2017-07-28,13:00,1.802,1.802,1.802,1.802,1000,1
"DE0005140008","DBK","DEUTSCHE BANK AG NA O.N.","Common stock","EUR",2504888,2017-07-28,13:00,15.58,15.58,15.57,15.57,17043,12
"DE0005190003","BMW","BAY.MOTOREN WERKE AG ST","Common stock","EUR",2504900,2017-07-28,13:00,77.41,77.41,77.39,77.41,1094,8
"DE0005190037","BMW3","BAY.MOTOREN WERKE  VZO","Common stock","EUR",2504901,2017-07-28,13:00,67.25,67.3,67.25,67.3,16,2
"DE0005200000","BEI","BEIERSDORF AG O.N.","Common stock","EUR",2504906,2017-07-28,13:00,91.82,91.83,91.82,91.83,73,3
"DE0005408116","ARL","AAREAL BANK AG","Common stock","EUR",2504927,2017-07-28,13:00,35.35,35.35,35.35,35.35,153,3
"DE0005439004","CON","CONTINENTAL AG O.N.","Common stock","EUR",2504933,2017-07-28,13:00,192,192.1,192,192,659,12
"DE0005470405","LXS","LANXESS AG","Common stock","EUR",2504935,2017-07-28,13:00,65.86,65.86,65.85,65.85,281,4
"DE0005493092","BVB","BORUSSIA DORTMUND","Common stock","EUR",2504940,2017-07-28,13:00,5.954,5.954,5.954,5.954,84,1
"DE0005501357","SPR","A.SPRINGER SE VNA","Common stock","EUR",2504947,2017-07-28,13:00,53.43,53.45,53.43,53.45,300,5
"DE0005552004","DPW","DEUTSCHE POST AG NA O.N.","Common stock","EUR",2504953,2017-07-28,13:00,32.6,32.605,32.595,32.605,1622,6
"DE0005557508","DTE","DT.TELEKOM AG NA","Common stock","EUR",2504954,2017-07-28,13:00,15.605,15.61,15.605,15.605,3516,7
"DE0005565204","DUE","DUERR AG O.N.","Common stock","EUR",2504956,2017-07-28,13:00,103.8,103.8,103.8,103.8,50,1
"DE0005654933","EIN3","EINHELL GERMANY VZO O.N.","Common stock","EUR",2504961,2017-07-28,13:00,69.27,69.27,69.25,69.25,350,5
"DE0005664809","EVT","EVOTEC AG O.N.","Common stock","EUR",2504963,2017-07-28,13:00,11.765,11.77,11.755,11.755,4041,5
"DE0005785604","FRE","FRESENIUS SE+CO.KGAA O.N.","Common stock","EUR",2504973,2017-07-28,13:00,72.4,72.4,72.4,72.4,84,2
"DE0005785802","FME","FRESEN.MED.CARE KGAA O.N.","Common stock","EUR",2504974,2017-07-28,13:00,80.43,80.44,80.42,80.43,369,5
"DE0005800601","GFT","GFT TECHNOLOGIES SE","Common stock","EUR",2504977,2017-07-28,13:00,15.62,15.62,15.62,15.62,210,4
"DE0005810055","DB1","DEUTSCHE BOERSE NA O.N.","Common stock","EUR",2504978,2017-07-28,13:00,88.27,88.28,88.27,88.28,385,3
"DE0005895403","GMM","GRAMMER AG O.N.","Common stock","EUR",2504985,2017-07-28,13:00,48.445,48.445,48.445,48.445,89,1
"DE0005932735","YOC","YOC AG O.N.","Common stock","EUR",2504987,2017-07-28,13:00,6.901,6.901,6.901,6.901,39,1
"DE0006047004","HEI","HEIDELBERGCEMENT AG O.N.","Common stock","EUR",2505002,2017-07-28,13:00,83.69,83.7,83.69,83.7,270,3
"DE0006048408","HEN","HENKEL AG+CO.KGAA ST O.N.","Common stock","EUR",2505003,2017-07-28,13:00,105.3,105.3,105.3,105.3,10,1
"DE0006048432","HEN3","HENKEL AG+CO.KGAA VZO","Common stock","EUR",2505004,2017-07-28,13:00,119.4,119.4,119.35,119.35,1381,9
"DE0006202005","SZG","SALZGITTER AG O.N.","Common stock","EUR",2505016,2017-07-28,13:00,37.82,37.82,37.81,37.81,76,2
"DE0006231004","IFX","INFINEON TECH.AG NA O.N.","Common stock","EUR",2505024,2017-07-28,13:00,18.595,18.595,18.595,18.595,3620,2
"DE0006305006","DEZ","DEUTZ AG O.N.","Common stock","EUR",2505037,2017-07-28,13:00,6.394,6.398,6.394,6.398,828,4
"DE0006483001","LIN","LINDE AG O.N.","Common stock","EUR",2505043,2017-07-28,13:00,163.95,163.95,163.9,163.9,134,2
"DE0006599905","MRK","MERCK KGAA O.N.","Common stock","EUR",2505050,2017-07-28,13:00,93.22,93.24,93.22,93.23,222,6
"DE0006766504","NDA","AURUBIS AG","Common stock","EUR",2505060,2017-07-28,13:00,73.95,73.95,73.95,73.95,25,1
"DE0006969603","PUM","PUMA SE","Common stock","EUR",2505067,2017-07-28,13:00,335.75,337.4,335.75,337.05,178,18
"DE0007037129","RWE","RWE AG ST O.N.","Common stock","EUR",2505072,2017-07-28,13:00,17.535,17.535,17.535,17.535,201,2
"DE0007042301","RHK","RHOEN-KLINIKUM O.N.","Common stock","EUR",2505074,2017-07-28,13:00,26.295,26.305,26.295,26.295,460,6
"DE0007100000","DAI","DAIMLER AG NA O.N.","Common stock","EUR",2505076,2017-07-28,13:00,59.5,59.52,59.5,59.5,5491,31
"DE0007164600","SAP","SAP SE O.N.","Common stock","EUR",2505077,2017-07-28,13:00,90.23,90.26,90.23,90.24,1252,12
"DE0007165631","SRT3","SARTORIUS AG VZO O.N.","Common stock","EUR",2505079,2017-07-28,13:00,81,81,81,81,74,1
"DE0007236101","SIE","SIEMENS AG NA","Common stock","EUR",2505088,2017-07-28,13:00,116.15,116.15,116.1,116.1,1979,10
"DE0007257503","CEC","METRO AG ST O.N.","Common stock","EUR",2505090,2017-07-28,13:00,9.627,9.628,9.627,9.627,1038,2
"DE0007257537","CEC1","METRO AG VZO O.N.","Common stock","EUR",2505091,2017-07-28,13:00,9.625,9.65,9.625,9.65,2381,5
"DE0007297004","SZU","SUEDZUCKER AG  O.N.","Common stock","EUR",2505095,2017-07-28,13:00,17.92,17.92,17.92,17.92,757,4
"DE0007500001","TKA","THYSSENKRUPP AG O.N.","Common stock","EUR",2505105,2017-07-28,13:00,25.43,25.445,25.43,25.445,955,5
"DE0007507501","WSU","WASHTEC AG O.N.","Common stock","EUR",2505106,2017-07-28,13:00,67.91,67.91,67.91,67.91,232,6
"DE0007664005","VOW","VOLKSWAGEN AG ST O.N.","Common stock","EUR",2505113,2017-07-28,13:00,134.05,134.05,134.05,134.05,234,3
"DE0007664039","VOW3","VOLKSWAGEN AG VZO O.N.","Common stock","EUR",2505114,2017-07-28,13:00,131.45,131.45,131.45,131.45,810,2
"DE0008019001","PBB","DT.PFANDBRIEFBK AG","Common stock","EUR",2505126,2017-07-28,13:00,11.19,11.19,11.19,11.19,1884,6
"DE0008232125","LHA","LUFTHANSA AG VNA O.N.","Common stock","EUR",2505130,2017-07-28,13:00,18.445,18.445,18.44,18.44,2516,3
"DE0008402215","HNR1","HANNOVER RUECK SE NA O.N.","Common stock","EUR",2505132,2017-07-28,13:00,107.05,107.05,107.05,107.05,46,1
"DE0008404005","ALV","ALLIANZ SE NA O.N.","Common stock","EUR",2505133,2017-07-28,13:00,180.5,180.5,180.5,180.5,40,1
"GB00B03MLX29","R6C","ROYAL DUTCH SHELL A EO-07","Common stock","EUR",2505360,2017-07-28,13:00,23.545,23.545,23.545,23.545,150,1
"GB0030913577","BTQ","BT GROUP PLC      LS 0.05","Common stock","EUR",2505385,2017-07-28,13:00,3.484,3.484,3.484,3.484,989,1
"GB0059822006","DLG","DIALOG SEMICOND.   LS-,10","Common stock","EUR",2505387,2017-07-28,13:00,36.81,36.81,36.8,36.81,865,5
"IE00B53SZB19","SXRV","ISHSVII-NASDAQ 100 DL ACC","ETF","EUR",2505731,2017-07-28,13:00,277.77,277.77,277.77,277.77,11,1
"LU0061462528","RRTL","RTL GROUP","Common stock","EUR",2505811,2017-07-28,13:00,65.8,65.8,65.78,65.78,149,6
"LU0378453376","C020","COMST.-NIKKEI225 U.ETF I","ETF","EUR",2505915,2017-07-28,13:00,16.69,16.69,16.69,16.69,4800,1
"LU1033693638","C007","COMSTAGE-MDAX UCITS ETF I","ETF","EUR",2506087,2017-07-28,13:00,24.23,24.23,24.23,24.23,200,1
"DE000A1EK0G3","XAD1","DB ETC PLC P GOLD EUR H60","ETC","EUR",2506209,2017-07-28,13:00,92.18,92.18,92.18,92.18,138,1
"NL0000235190","AIR","AIRBUS","Common stock","EUR",2506257,2017-07-28,13:00,72.7,72.7,72.7,72.7,13,1
"NL0010315453","FBE","FYBER N.V.  EO -,10","Common stock","EUR",2506263,2017-07-28,13:00,0.89,0.89,0.89,0.89,13449,1
"NL0011821202","INN1","ING GROEP NV      EO -,01","Common stock","EUR",2506270,2017-07-28,13:00,15.74,15.74,15.74,15.74,2394,2
"NL0012169213","QIA","QIAGEN NV         EO -,01","Common stock","EUR",2506272,2017-07-28,13:00,28.735,28.735,28.73,28.73,773,6
"US01609W1027","AHLA","ALIBABA GR.HLDG SP.ADR 1","Common stock","EUR",2506421,2017-07-28,13:00,131.55,131.55,131.55,131.55,2,1
"US0311621009","AMG","AMGEN INC.       DL-,0001","Common stock","EUR",2506432,2017-07-28,13:00,147.1,147.15,147.1,147.1,88,2
"US0378331005","APC","APPLE INC.","Common stock","EUR",2506434,2017-07-28,13:00,127.9,127.9,127.9,127.9,3,1
"US0846707026","BRYN","BERKSH. H.B NEW DL-,00333","Common stock","EUR",2506447,2017-07-28,13:00,147.25,147.25,147.25,147.25,35,1
"US0970231058","BCO","BOEING CO.           DL 5","Common stock","EUR",2506450,2017-07-28,13:00,204.3,204.3,204.3,204.3,20,1
"US1491231015","CAT1","CATERPILLAR INC.     DL 1","Common stock","EUR",2506453,2017-07-28,13:00,97.22,97.22,97.17,97.17,101,4
"US17275R1023","CIS","CISCO SYSTEMS    DL-,001","Common stock","EUR",2506458,2017-07-28,13:00,26.815,26.845,26.815,26.815,11,2
"US30303M1027","FB2A","FACEBOOK INC.A DL-,000006","Common stock","EUR",2506484,2017-07-28,13:00,145.1,145.1,145.1,145.1,240,1
"US8552441094","SRB","STARBUCKS CORP.","Common stock","EUR",2506569,2017-07-28,13:00,47.21,47.21,47.21,47.21,10,2
"US88160R1014","TL0","TESLA INC. DL -,001","Common stock","EUR",2506575,2017-07-28,13:00,286.55,286.55,286.55,286.55,3,1
"US90184L1026","TWR","TWITTER INC.   DL-,000005","Common stock","EUR",2506580,2017-07-28,13:00,14.235,14.235,14.235,14.235,256,2
"CH0038389992","BBZA","BB BIOTECH NAM.   SF 0,20","Common stock","EUR",2504244,2017-07-28,13:01,53.27,53.27,53.27,53.27,514,1
"DE000A0X8994","DEL2","ETFS DAX DLY 2X LG GO DZ","ETF","EUR",2504256,2017-07-28,13:01,292.14,292.14,292.14,292.14,18,1
"DE000A0D9PT0","MTX","MTU AERO ENGINES NA O.N.","Common stock","EUR",2504297,2017-07-28,13:01,125.3,125.3,125.25,125.25,177,5
"DE000A0HN5C6","DWNI","DEUTSCHE WOHNEN AG INH","Common stock","EUR",2504314,2017-07-28,13:01,33.895,33.9,33.895,33.9,1500,3
"DE000A0Z2XN6","RIB","RIB SOFTWARE SE  NA EO 1","Common stock","EUR",2504436,2017-07-28,13:01,14.32,14.33,14.305,14.305,2282,10
"DE000A1EWWW0","ADS","ADIDAS AG NA O.N.","Common stock","EUR",2504471,2017-07-28,13:01,189.4,189.4,189.3,189.3,1035,7
"DE000A1J5RX9","O2D","TELEFONICA DTLD HLDG AG","Common stock","EUR",2504492,2017-07-28,13:01,4.344,4.344,4.337,4.337,42325,15
"DE000A1ML7J1","VNA","VONOVIA SE NA O.N.","Common stock","EUR",2504501,2017-07-28,13:01,34.515,34.515,34.515,34.515,42,1
"DE000A12B8Z4","TLG","TLG IMMOBILIEN AG","Common stock","EUR",2504555,2017-07-28,13:01,18.375,18.375,18.375,18.375,29,1
"DE000A2AADD2","IGY","INNOGY SE  INH. O.N.","Common stock","EUR",2504618,2017-07-28,13:01,35.305,35.31,35.305,35.31,174,3
"DE000BASF111","BAS","BASF SE NA O.N.","Common stock","EUR",2504663,2017-07-28,13:01,79.56,79.56,79.54,79.55,732,7
"DE000BAY0017","BAYN","BAYER AG NA O.N.","Common stock","EUR",2504664,2017-07-28,13:01,106.85,107,106.85,106.85,22039,71
"DE000CBK1001","CBK","COMMERZBANK AG","Common stock","EUR",2504665,2017-07-28,13:01,11.105,11.11,11.105,11.11,996,2
"DE000ENAG999","EOAN","E.ON SE NA O.N.","Common stock","EUR",2504666,2017-07-28,13:01,8.296,8.298,8.296,8.297,7907,12
"DE000HLAG475","HLAG","HAPAG-LLOYD AG NA O.N.","Common stock","EUR",2504809,2017-07-28,13:01,33.57,33.57,33.57,33.57,163,1
"DE000KC01000","KCO","KLOECKNER + CO SE NA O.N.","Common stock","EUR",2504810,2017-07-28,13:01,9.273,9.278,9.273,9.276,2477,8
"DE000KGX8881","KGX","KION GROUP AG","Common stock","EUR",2504811,2017-07-28,13:01,72.85,72.85,72.81,72.82,579,6
"DE000KSAG888","SDF","K+S AG NA O.N.","Common stock","EUR",2504812,2017-07-28,13:01,21.995,21.995,21.985,21.985,1438,9
"DE000LED4000","OSR","OSRAM LICHT AG NA O.N.","Common stock","EUR",2504813,2017-07-28,13:01,68.95,68.95,68.93,68.93,181,3
"DE000PAH0038","PAH3","PORSCHE AUTOM.HLDG VZO","Common stock","EUR",2504816,2017-07-28,13:01,48.745,48.745,48.74,48.74,706,7
"DE000PAT1AG3","P1Z","PATRIZIA IMMOBILIEN NA ON","Common stock","EUR",2504817,2017-07-28,13:01,15.285,15.3,15.285,15.3,1383,4
"DE000PSM7770","PSM","PROSIEBENSAT.1  NA O.N.","Common stock","EUR",2504848,2017-07-28,13:01,33.205,33.215,33.205,33.215,841,4
"DE000STRA555","SBS","STRATEC BIOMEDICAL  NA ON","Common stock","EUR",2504851,2017-07-28,13:01,52.3,52.3,52.24,52.24,210,9
"DE000SYM9999","SY1","SYMRISE AG INH. O.N.","Common stock","EUR",2504852,2017-07-28,13:01,58.89,58.9,58.89,58.9,182,3
"DE000UNSE018","UN01","UNIPER SE  NA O.N.","Common stock","EUR",2504856,2017-07-28,13:01,17.37,17.375,17.365,17.37,3115,8
"DE000WAF3001","WAF","SILTRONIC AG NA O.N.","Common stock","EUR",2504859,2017-07-28,13:01,87.08,87.08,87.08,87.08,24,1
"DE000ZAL1111","ZAL","ZALANDO SE","Common stock","EUR",2504863,2017-07-28,13:01,37.815,37.815,37.805,37.805,161,2
"DE0005086300","AEI","ALLGEIER SE  O.N.","Common stock","EUR",2504876,2017-07-28,13:01,22.975,22.975,22.91,22.91,284,2
"DE0005140008","DBK","DEUTSCHE BANK AG NA O.N.","Common stock","EUR",2504888,2017-07-28,13:01,15.575,15.575,15.57,15.57,3159,4
