ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
"CH0011075394","ZFIN","ZURICH INSUR.GR.NA.SF0,10","Common stock","EUR",2504215,2017-07-28,08:00,257.4,257.4,257.4,257.4,7,1
"CH0012032048","RHO5","ROCHE HLDG AG GEN.","Other","EUR",2504218,2017-07-28,08:00,214.7,214.7,214.7,214.7,5,1
"CH0012138530","CSX","CRED.SUISSE GRP NA SF-,04","Common stock","EUR",2504220,2017-07-28,08:00,13.25,13.25,13.21,13.21,6291,10
"CH0038389992","BBZA","BB BIOTECH NAM.   SF 0,20","Common stock","EUR",2504244,2017-07-28,08:00,52.51,52.54,52.51,52.54,54,2
"CH0038863350","NESR","NESTLE NAM.        SF-,10","Common stock","EUR",2504245,2017-07-28,08:00,71.7,71.7,71.7,71.7,100,1
"CH0108503795","M6YA","MEYER BUR.TECH.NAM.SF-,05","Common stock","EUR",2504246,2017-07-28,08:00,1.33,1.33,1.33,1.33,2000,2
"DE0002635273","EXSB","ISHARES DIVDAX UCITS ETF","ETF","EUR",2504264,2017-07-28,08:00,16.845,16.845,16.845,16.845,1,1
"DE0005933931","EXS1","ISHS CORE DAX UCITS ETF","ETF","EUR",2504265,2017-07-28,08:00,105.69,105.69,105.69,105.69,91,1
"LU0292106241","DXSN","DB X-TR.SHORTDAX DAILY 1C","ETF","EUR",2504270,2017-07-28,08:00,22.28,22.28,22.28,22.28,1300,1
"LU0838782315","XDDX","DB X-TR.DAX U.E.DR INC.1D","ETF","EUR",2504277,2017-07-28,08:00,107.13,107.13,107.13,107.13,1,1
"DE000A0DPRE6","LNSX","SIXT LEASING O.N.","Common stock","EUR",2504289,2017-07-28,08:00,19.63,19.63,19.63,19.63,144,1
"DE000A0D6554","NDX1","NORDEX SE O.N.","Common stock","EUR",2504290,2017-07-28,08:00,11.83,11.83,11.83,11.83,3587,2
"DE000A0D9PT0","MTX","MTU AERO ENGINES NA O.N.","Common stock","EUR",2504297,2017-07-28,08:00,126.65,126.65,126.65,126.65,20,1
"DE000A0H0728","EXXY","ISHS DIV.COMM.SWAP UC.ETF","ETF","EUR",2504315,2017-07-28,08:00,18.02,18.02,18.02,18.02,1,1
"DE000A0H08N1","EXH7","ISH.S.E.600 P+HG U.ETF A.","ETF","EUR",2504331,2017-07-28,08:00,85.38,85.38,85.38,85.38,181,1
"DE000A0JRU67","XMY","MYBET HOLDING SE NA O.N.","Common stock","EUR",2504346,2017-07-28,08:00,0.86,0.86,0.86,0.86,3100,1
"DE000A0LD2U1","AOX","ALSTRIA OFFICE REIT-AG","Common stock","EUR",2504379,2017-07-28,08:00,12.315,12.315,12.31,12.31,512,4
"DE000A0LD6E6","GXI","GERRESHEIMER AG","Common stock","EUR",2504380,2017-07-28,08:00,69.4,69.4,69.4,69.4,91,2
"DE000A0S8488","HHFA","HAMBURG.HAFEN U.LOG.A-SP","Common stock","EUR",2504409,2017-07-28,08:00,23.385,23.4,23.38,23.38,961,6
"DE000A0WMPJ6","AIXA","AIXTRON SE NA O.N.","Common stock","EUR",2504428,2017-07-28,08:00,7.687,7.687,7.687,7.687,195,1
"DE000A0Z2XN6","RIB","RIB SOFTWARE SE  NA EO 1","Common stock","EUR",2504436,2017-07-28,08:00,14.39,14.39,14.39,14.39,111,1
"DE000A0Z2ZZ5","FNTN","FREENET AG NA O.N.","Common stock","EUR",2504438,2017-07-28,08:00,28.79,28.795,28.79,28.795,375,4
"DE000A1DAHH0","BNR","BRENNTAG AG NA O.N.","Common stock","EUR",2504453,2017-07-28,08:00,47.715,47.715,47.715,47.715,150,2
"DE000A1EWWW0","ADS","ADIDAS AG NA O.N.","Common stock","EUR",2504471,2017-07-28,08:00,191.8,191.9,191.65,191.8,2427,25
"DE000A1H8BV3","NOEJ","NORMA GROUP SE NA O.N.","Common stock","EUR",2504474,2017-07-28,08:00,51.48,51.48,51.47,51.47,219,2
"DE000A1H8MU2","ADD","ADLER MODEMAERKTE AG O.N.","Common stock","EUR",2504475,2017-07-28,08:00,5.999,5.999,5.999,5.999,250,1
"DE000A1ML7J1","VNA","VONOVIA SE NA O.N.","Common stock","EUR",2504501,2017-07-28,08:00,34.77,34.77,34.74,34.745,1363,10
"DE000A1TNUT7","DBAN","DT.BETEILIG.AG   NA O.N.","Common stock","EUR",2504519,2017-07-28,08:00,39.495,39.6,39.455,39.6,489,4
"DE000A11QW50","ECX","EPIGENOMICS AG NA O.N.","Common stock","EUR",2504547,2017-07-28,08:00,5,5,5,5,100,1
"DE000A12B8Z4","TLG","TLG IMMOBILIEN AG","Common stock","EUR",2504555,2017-07-28,08:00,18.46,18.46,18.455,18.455,2125,6
"DE000A13SX22","HLE","HELLA KGAA HUECK+CO. O.N.","Common stock","EUR",2504580,2017-07-28,08:00,44.515,44.515,44.515,44.515,4,1
"DE000A2AADD2","IGY","INNOGY SE  INH. O.N.","Common stock","EUR",2504618,2017-07-28,08:00,35.6,35.6,35.585,35.595,563,6
"DE000BASF111","BAS","BASF SE NA O.N.","Common stock","EUR",2504663,2017-07-28,08:00,79.19,79.2,79.17,79.18,4456,33
"DE000BAY0017","BAYN","BAYER AG NA O.N.","Common stock","EUR",2504664,2017-07-28,08:00,106.9,106.95,106.85,106.9,1899,16
"DE000CBK1001","CBK","COMMERZBANK AG","Common stock","EUR",2504665,2017-07-28,08:00,11.09,11.09,11.085,11.085,12555,7
"DE000ENAG999","EOAN","E.ON SE NA O.N.","Common stock","EUR",2504666,2017-07-28,08:00,8.352,8.355,8.351,8.355,6150,13
"DE000EVNK013","EVK","EVONIK INDUSTRIES NA O.N.","Common stock","EUR",2504806,2017-07-28,08:00,28.865,28.9,28.85,28.895,919,11
"DE000HLAG475","HLAG","HAPAG-LLOYD AG NA O.N.","Common stock","EUR",2504809,2017-07-28,08:00,33.845,33.845,33.84,33.845,200,2
"DE000KGX8881","KGX","KION GROUP AG","Common stock","EUR",2504811,2017-07-28,08:00,72.72,72.81,72.71,72.8,2218,18
