ISIN,MarketSegment,UnderlyingSymbol,UnderlyingISIN,Currency,SecurityType,MaturityDate,StrikePrice,PutOrCall,MLEG,ContractGenerationNumber,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,NumberOfContracts,NumberOfTrades
"DE000P92R2X0","CFR","CFR","CH0210483332","CHF","OPT",20171215,76,"Put",,1,501700,2017-07-28,12:00,2.62,2.62,2.62,2.62,40,2
"DE000P8EQ6P6","PPX","PPX","FR0000121485","EUR","OPT",20180615,170,"Put",,1,1809330,2017-07-28,12:00,1.16,1.16,1.16,1.16,1,1
"DE000C0BNN72","OESX","SX5E","EU0009658145","EUR","OPT",20170915,3650,"Call",,1,2028782,2017-07-28,12:00,4.8,4.8,4.8,4.8,60,1
"DE000C0HRXN0","FBTP",,,"EUR","FUT",20170907,,,,,2150976,2017-07-28,12:00,135.45,135.45,135.44,135.44,23,12
"DE000C0HRXQ3","FGBL",,,"EUR","FUT",20170907,,,,,2150978,2017-07-28,12:00,161.45,161.46,161.44,161.45,474,68
"DE000C0HRXR1","FGBM",,,"EUR","FUT",20170907,,,,,2150979,2017-07-28,12:00,131.88,131.88,131.88,131.88,754,11
"DE000C0HRXS9","FGBS",,,"EUR","FUT",20170907,,,,,2150980,2017-07-28,12:00,112.035,112.035,112.03,112.035,124,5
"DE000C0HRXT7","FGBX",,,"EUR","FUT",20170907,,,,,2150981,2017-07-28,12:00,160.46,160.46,160.42,160.46,143,59
"DE000C0HRXV3","FOAT",,,"EUR","FUT",20170907,,,,,2150983,2017-07-28,12:00,148.26,148.26,148.26,148.26,18,6
"DE000C0HTG95","CBK","CBK","DE000CBK1001","EUR","OPT",20170915,11,"Call",,5,2152765,2017-07-28,12:00,0.52,0.52,0.52,0.52,9,4
"DE000C0JK5K6","FDAX","DAX","DE0008469008","EUR","FUT",20170915,,,,,2163021,2017-07-28,12:00,12156,12156.5,12154,12156.5,31,23
"DE000C0JK5P5","FDXM","DAX","DE0008469008","EUR","FUT",20170915,,,,,2163025,2017-07-28,12:00,12156,12156,12156,12156,1,1
"DE000C0JK5V3","FESB","SX7E","EU0009658426","EUR","FUT",20170915,,,,,2163031,2017-07-28,12:00,136.5,136.5,136.5,136.5,125,4
"DE000C0JK6C1","FESX","SX5E","EU0009658145","EUR","FUT",20170915,,,,,2163048,2017-07-28,12:00,3462,3463,3461,3462,241,16
