ISIN,MarketSegment,UnderlyingSymbol,UnderlyingISIN,Currency,SecurityType,MaturityDate,StrikePrice,PutOrCall,MLEG,ContractGenerationNumber,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,NumberOfContracts,NumberOfTrades
"DE000C0HRXQ3","FGBL",,,"EUR","FUT",20170907,,,,,2150978,2017-07-28,19:00,161.98,161.99,161.96,161.96,307,27
"DE000C0HRXR1","FGBM",,,"EUR","FUT",20170907,,,,,2150979,2017-07-28,19:00,132.11,132.12,132.11,132.11,59,4
"DE000C0HRXS9","FGBS",,,"EUR","FUT",20170907,,,,,2150980,2017-07-28,19:00,112.075,112.075,112.075,112.075,139,1
"DE000C0HRXT7","FGBX",,,"EUR","FUT",20170907,,,,,2150981,2017-07-28,19:00,161.52,161.52,161.5,161.5,24,6
"DE000C0JK5K6","FDAX","DAX","DE0008469008","EUR","FUT",20170915,,,,,2163021,2017-07-28,19:00,12160,12160.5,12159.5,12160,18,13
"DE000C0JK5P5","FDXM","DAX","DE0008469008","EUR","FUT",20170915,,,,,2163025,2017-07-28,19:00,12160,12161,12160,12160,6,4
"DE000C0JK6C1","FESX","SX5E","EU0009658145","EUR","FUT",20170915,,,,,2163048,2017-07-28,19:00,3462,3462,3461,3461,22,3
"DE000C0JK750","FSMI","SMI","CH0009980894","CHF","FUT",20170915,,,,,2163075,2017-07-28,19:00,9030,9030,9030,9030,1,1
"DE000C0QPTZ7","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,302.5,"Put",,1,2285615,2017-07-28,19:00,0.4,0.4,0.4,0.4,8,1
"DE000C0Z49H7","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,325,"Call",,1,2416017,2017-07-28,19:00,0.12,0.12,0.12,0.12,1,1
"DE000C0HRXQ3","FGBL",,,"EUR","FUT",20170907,,,,,2150978,2017-07-28,19:01,161.97,161.97,161.96,161.97,17,4
"DE000C0HRXR1","FGBM",,,"EUR","FUT",20170907,,,,,2150979,2017-07-28,19:01,132.11,132.11,132.11,132.11,51,2
"DE000C0HRXS9","FGBS",,,"EUR","FUT",20170907,,,,,2150980,2017-07-28,19:01,112.075,112.075,112.075,112.075,5,1
"DE000C0JK5K6","FDAX","DAX","DE0008469008","EUR","FUT",20170915,,,,,2163021,2017-07-28,19:01,12160.5,12161.5,12160.5,12160.5,21,17
"DE000C0JK5P5","FDXM","DAX","DE0008469008","EUR","FUT",20170915,,,,,2163025,2017-07-28,19:01,12161,12161,12161,12161,2,1
"DE000C0JK5V3","FESB","SX7E","EU0009658426","EUR","FUT",20170915,,,,,2163031,2017-07-28,19:01,136.2,136.2,136.2,136.2,14,1
"DE000C0JK6C1","FESX","SX5E","EU0009658145","EUR","FUT",20170915,,,,,2163048,2017-07-28,19:01,3461,3461,3461,3461,132,2
"DE000C0KMAP8","FVS","V2TX","DE000A0C3QF1","EUR","FUT",20170816,,,,,2195792,2017-07-28,19:01,14.6,14.6,14.6,14.6,8,2
"DE000C0M6PH6","FVS","V2TX","DE000A0C3QF1","EUR","FUT",20170920,,,,,2223995,2017-07-28,19:01,15.7,15.7,15.7,15.7,8,2
"DE000C0M7Z06","FVS","V2TX","DE000A0C3QF1","EUR","MLEG",,,,"FVS.S.AUG17.SEP17",,72061120206078301,2017-07-28,19:01,-1.1,-1.1,-1.1,-1.1,8,2
"DE000C0HRXQ3","FGBL",,,"EUR","FUT",20170907,,,,,2150978,2017-07-28,19:02,161.96,161.97,161.96,161.97,16,4
