ISIN,MarketSegment,UnderlyingSymbol,UnderlyingISIN,Currency,SecurityType,MaturityDate,StrikePrice,PutOrCall,MLEG,ContractGenerationNumber,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,NumberOfContracts,NumberOfTrades
"DE000C0BNN07","OESX","SX5E","EU0009658145","EUR","OPT",20170915,3450,"Put",,1,2028775,2017-07-28,07:00,58.5,58.5,58.5,58.5,10,1
"DE000C0HRXN0","FBTP",,,"EUR","FUT",20170907,,,,,2150976,2017-07-28,07:00,136.36,136.4,136.32,136.4,482,144
"DE000C0HRXP5","FBTS",,,"EUR","FUT",20170907,,,,,2150977,2017-07-28,07:00,112.95,112.95,112.95,112.95,296,8
"DE000C0HRXQ3","FGBL",,,"EUR","FUT",20170907,,,,,2150978,2017-07-28,07:00,162.27,162.34,162.19,162.33,8021,689
"DE000C0HRXR1","FGBM",,,"EUR","FUT",20170907,,,,,2150979,2017-07-28,07:00,132.1,132.14,132.07,132.13,3496,153
"DE000C0HRXS9","FGBS",,,"EUR","FUT",20170907,,,,,2150980,2017-07-28,07:00,112.055,112.06,112.055,112.06,2450,20
"DE000C0HRXT7","FGBX",,,"EUR","FUT",20170907,,,,,2150981,2017-07-28,07:00,162.22,162.3,162.06,162.3,241,91
"DE000C0HRXV3","FOAT",,,"EUR","FUT",20170907,,,,,2150983,2017-07-28,07:00,148.86,148.91,148.8,148.9,574,155
"DE000C0JK5E9","F2MX","MDAX","DE0008467416","EUR","FUT",20170915,,,,,2163016,2017-07-28,07:00,24786,24786,24786,24786,1,1
"DE000C0JK5K6","FDAX","DAX","DE0008469008","EUR","FUT",20170915,,,,,2163021,2017-07-28,07:00,12150,12150,12130,12134.5,749,495
"DE000C0JK5P5","FDXM","DAX","DE0008469008","EUR","FUT",20170915,,,,,2163025,2017-07-28,07:00,12149,12149,12131,12134,263,181
"DE000C0JK5V3","FESB","SX7E","EU0009658426","EUR","FUT",20170915,,,,,2163031,2017-07-28,07:00,136.3,136.4,135.6,135.6,567,50
"DE000C0JK6C1","FESX","SX5E","EU0009658145","EUR","FUT",20170915,,,,,2163048,2017-07-28,07:00,3466,3467,3458,3460,11020,557
"DE000C0JK750","FSMI","SMI","CH0009980894","CHF","FUT",20170915,,,,,2163075,2017-07-28,07:00,8989,8995,8978,8981,513,182
"DE000C0JK7V9","FTDX","TDXP","DE0007203275","EUR","FUT",20170915,,,,,2163099,2017-07-28,07:00,2268.5,2268.5,2267.5,2267.5,3,2
"DE000C0JK7X5","FXXP","SXXP","EU0009658202","EUR","FUT",20170915,,,,,2163101,2017-07-28,07:00,378.5,378.6,378.1,378.1,63,17
"DE000C0NSEM8","FESX","SX5E","EU0009658145","EUR","FUT",20171215,,,,,2258376,2017-07-28,07:00,3449,3449,3449,3449,1,1
"DE000C0R38U0","OGBL","FGBL","DE0009652644","EUR","OPT",20170825,161.5,"Call",,1,2291812,2017-07-28,07:00,1.17,1.17,1.17,1.17,15,1
"DE000C0R38Z9","OGBL","FGBL","DE0009652644","EUR","OPT",20170825,162.5,"Put",,1,2291817,2017-07-28,07:00,0.85,0.85,0.85,0.85,1,1
"DE000C0R3908","OGBL","FGBL","DE0009652644","EUR","OPT",20170825,163,"Call",,1,2291818,2017-07-28,07:00,0.37,0.37,0.37,0.37,2,1
"DE000C0R3965","OGBL","FGBL","DE0009652644","EUR","OPT",20170825,164.5,"Call",,1,2291824,2017-07-28,07:00,0.08,0.08,0.08,0.08,3,3
"DE000C0R39D4","OGBL","FGBL","DE0009652644","EUR","OPT",20170825,166,"Put",,1,2291831,2017-07-28,07:00,3.79,3.79,3.79,3.79,13,1
"DE000C0T9T56","FDAX","DAX","DE0008469008","EUR","FUT",20171215,,,,,2318276,2017-07-28,07:00,12136.5,12136.5,12136.5,12136.5,1,1
"DE000C0T9T72","FDXM","DAX","DE0008469008","EUR","FUT",20171215,,,,,2318278,2017-07-28,07:00,12137,12137,12137,12137,1,1
"DE000C0TLPJ2","OESX","SX5E","EU0009658145","EUR","OPT",20170915,3325,"Put",,1,2320146,2017-07-28,07:00,23.6,23.6,23.6,23.6,80,1
"DE000C009K19","ODAX","DAX","DE0008469008","EUR","OPT",20170818,12100,"Put",,1,2432292,2017-07-28,07:00,125,125,125,125,1,1
"DE000C03M8L0","ODX4","DAX","DE0008469008","EUR","OPT",20170728,12200,"Call",,1,2511319,2017-07-28,07:00,6,6,6,6,4,1
"DE000C03RVJ6","OGBL","FGBL","DE0009652644","EUR","OPT",20170922,157.5,"Put",,1,2515131,2017-07-28,07:00,0.45,0.45,0.45,0.45,1,1
