ISIN,MarketSegment,UnderlyingSymbol,UnderlyingISIN,Currency,SecurityType,MaturityDate,StrikePrice,PutOrCall,MLEG,ContractGenerationNumber,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,NumberOfContracts,NumberOfTrades
"DE000P0CCCD3","DAI","DAI","DE0007100000","EUR","OPT",20171215,60,"Put",,2,295003,2017-07-28,11:00,3.18,3.18,3.18,3.18,50,2
"DE000P1GD7H1","ODAX","DAX","DE0008469008","EUR","OPT",20171215,12000,"Put",,1,357496,2017-07-28,11:00,364.6,364.6,364.6,364.6,30,1
"DE000C9AB379","ODAX","DAX","DE0008469008","EUR","OPT",20171215,13400,"Call",,1,1174941,2017-07-28,11:00,30,30,30,30,1,1
"DE000P8FC4N1","ODAX","DAX","DE0008469008","EUR","OPT",20171215,10900,"Put",,1,1861361,2017-07-28,11:00,115,115,115,115,20,1
"DE000C0BLZ70","FRDX","RDX","AT0000634076","USD","FUT",20170915,,,,,2026685,2017-07-28,11:00,1189,1189,1189,1189,15,1
"DE000C0BNME4","OESX","SX5E","EU0009658145","EUR","OPT",20170915,2950,"Put",,1,2028755,2017-07-28,11:00,3.8,3.8,3.8,3.8,1,1
"DE000C0BNMQ8","OESX","SX5E","EU0009658145","EUR","OPT",20170915,3200,"Put",,1,2028765,2017-07-28,11:00,13,13,13,13,5,1
"DE000C0BNN31","OESX","SX5E","EU0009658145","EUR","OPT",20170915,3550,"Call",,1,2028778,2017-07-28,11:00,23.4,23.4,23.4,23.4,2,1
"DE000C0BNN72","OESX","SX5E","EU0009658145","EUR","OPT",20170915,3650,"Call",,1,2028782,2017-07-28,11:00,4.9,4.9,4.9,4.9,1,1
"DE000C0C3G12","ODAX","DAX","DE0008469008","EUR","OPT",20170915,11000,"Put",,1,2045220,2017-07-28,11:00,32.4,32.4,32.4,32.4,3,1
"DE000C0DFGT6","DBK","DBK","DE0005140008","EUR","OPT",20170915,16.96,"Call",,5,2073063,2017-07-28,11:00,0.13,0.13,0.13,0.13,1,1
"DE000C0HRXN0","FBTP",,,"EUR","FUT",20170907,,,,,2150976,2017-07-28,11:00,135.46,135.47,135.44,135.46,75,26
"DE000C0HRXQ3","FGBL",,,"EUR","FUT",20170907,,,,,2150978,2017-07-28,11:00,161.49,161.49,161.47,161.49,1269,84
"DE000C0HRXR1","FGBM",,,"EUR","FUT",20170907,,,,,2150979,2017-07-28,11:00,131.89,131.89,131.88,131.89,1433,15
"DE000C0HRXS9","FGBS",,,"EUR","FUT",20170907,,,,,2150980,2017-07-28,11:00,112.03,112.03,112.03,112.03,12,1
"DE000C0HRXT7","FGBX",,,"EUR","FUT",20170907,,,,,2150981,2017-07-28,11:00,160.5,160.5,160.44,160.48,118,35
"DE000C0HRXV3","FOAT",,,"EUR","FUT",20170907,,,,,2150983,2017-07-28,11:00,148.26,148.27,148.25,148.27,137,37
"DE000C0JK5K6","FDAX","DAX","DE0008469008","EUR","FUT",20170915,,,,,2163021,2017-07-28,11:00,12139,12142.5,12133.5,12134.5,470,267
"DE000C0JK5P5","FDXM","DAX","DE0008469008","EUR","FUT",20170915,,,,,2163025,2017-07-28,11:00,12138,12143,12134,12135,132,76
"DE000C0JK5V3","FESB","SX7E","EU0009658426","EUR","FUT",20170915,,,,,2163031,2017-07-28,11:00,136.3,136.3,136.3,136.3,877,26
"DE000C0JK610","FESI","SXIE","EU0009658442","EUR","FUT",20170915,,,,,2163037,2017-07-28,11:00,263.9,263.9,263.9,263.9,1,1
"DE000C0JK6C1","FESX","SX5E","EU0009658145","EUR","FUT",20170915,,,,,2163048,2017-07-28,11:00,3459,3461,3458,3459,5545,138
"DE000C0JK750","FSMI","SMI","CH0009980894","CHF","FUT",20170915,,,,,2163075,2017-07-28,11:00,8998,9001,8997,8999,183,45
"DE000C0JK776","FSTA","SXAP","EU0009658681","EUR","FUT",20170915,,,,,2163077,2017-07-28,11:00,531.3,531.3,531.3,531.3,1,1
"DE000C0JK784","FSTB","SX7P","EU0009658806","EUR","FUT",20170915,,,,,2163078,2017-07-28,11:00,187.1,187.1,187.1,187.1,42,1
"DE000C0JK7B1","FSTE","SXEP","EU0009658780","EUR","FUT",20170915,,,,,2163081,2017-07-28,11:00,287,287,287,287,1,1
"DE000C0JK7N6","FSTT","SXKP","EU0009658947","EUR","FUT",20170915,,,,,2163092,2017-07-28,11:00,295.7,295.8,295.7,295.8,2,2
"DE000C0JK7R7","FSTX","SX5P","EU0009658160","EUR","FUT",20170915,,,,,2163095,2017-07-28,11:00,3079,3079,3079,3079,3,2
"DE000C0JK7X5","FXXP","SXXP","EU0009658202","EUR","FUT",20170915,,,,,2163101,2017-07-28,11:00,377.6,377.6,377.5,377.5,7,3
"DE000C0JQUV7","ASM","ASM","NL0010273215","EUR","OPT",20171215,130,"Call",,3,2169469,2017-07-28,11:00,6.44,6.44,6.44,6.44,10,1
"DE000C0KG6E0","ODAX","DAX","DE0008469008","EUR","OPT",20170915,11900,"Put",,1,2193195,2017-07-28,11:00,147,147,147,147,2,1
"DE000C0KMAP8","FVS","V2TX","DE000A0C3QF1","EUR","FUT",20170816,,,,,2195792,2017-07-28,11:00,14.6,14.65,14.6,14.65,9,5
"DE000C0KMYY0","OVS","FVS","DE000A0Z3CW9","EUR","OPT",20170816,19,"Call",,1,2196547,2017-07-28,11:00,0.25,0.25,0.25,0.25,250,1
"DE000C0M6PH6","FVS","V2TX","DE000A0C3QF1","EUR","FUT",20170920,,,,,2223995,2017-07-28,11:00,15.65,15.65,15.65,15.65,16,5
"DE000C0N5P99","ODAX","DAX","DE0008469008","EUR","OPT",20170915,12300,"Put",,1,2246770,2017-07-28,11:00,305,305,305,305,2,1
"DE000C0P1XL0","FMK2","KMS2","XC000A2DB695","KRW","FUT",20170810,,,,,2261855,2017-07-28,11:00,313.1,313.1,313.08,313.08,6,2
"DE000C0P23F7","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,277.5,"Put",,1,2262043,2017-07-28,11:00,0.04,0.04,0.04,0.04,14,3
"DE000C0P23H3","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,280,"Put",,1,2262045,2017-07-28,11:00,0.05,0.05,0.05,0.05,10,1
"DE000C0P23L5","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,282.5,"Put",,1,2262047,2017-07-28,11:00,0.07,0.07,0.07,0.07,15,1
"DE000C0P23U6","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,292.5,"Put",,1,2262055,2017-07-28,11:00,0.19,0.19,0.19,0.19,11,2
"DE000C0P23X0","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,295,"Put",,1,2262057,2017-07-28,11:00,0.25,0.25,0.25,0.25,11,10
"DE000C0P23Z5","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,297.5,"Put",,1,2262059,2017-07-28,11:00,0.32,0.32,0.32,0.32,10,10
"DE000C0P9Y65","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,300,"Put",,1,2266746,2017-07-28,11:00,0.43,0.44,0.43,0.44,13,9
"DE000C0PNL60","FVS","V2TX","DE000A0C3QF1","EUR","FUT",20171018,,,,,2267753,2017-07-28,11:00,16.3,16.3,16.3,16.3,10,2
"DE000C0QPTZ7","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,302.5,"Put",,1,2285615,2017-07-28,11:00,0.59,0.6,0.59,0.6,36,11
"DE000C0SX8D9","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,305,"Put",,1,2314670,2017-07-28,11:00,0.83,0.84,0.82,0.84,119,29
"DE000C0SZVL8","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,307.5,"Put",,1,2315171,2017-07-28,11:00,1.19,1.23,1.19,1.23,138,50
"DE000C0T5Y20","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,310,"Put",,1,2316711,2017-07-28,11:00,1.76,1.77,1.76,1.77,14,6
"DE000C0T9T56","FDAX","DAX","DE0008469008","EUR","FUT",20171215,,,,,2318276,2017-07-28,11:00,12130,12130,12130,12130,1,1
"DE000C0TM2M5","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,312.5,"Put",,1,2320288,2017-07-28,11:00,2.59,2.62,2.58,2.62,10,3
"DE000C0ULMU4","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,315,"Call",,1,2339398,2017-07-28,11:00,1.92,1.92,1.91,1.91,58,7
"DE000C0ULMV2","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,315,"Put",,1,2339399,2017-07-28,11:00,3.81,3.85,3.8,3.85,15,9
"DE000C0UNX51","FVS","V2TX","DE000A0C3QF1","EUR","FUT",20171115,,,,,2340035,2017-07-28,11:00,16.7,16.7,16.7,16.7,30,1
"DE000C0Y3WT0","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,317.5,"Call",,1,2396445,2017-07-28,11:00,1.04,1.05,1.04,1.04,59,17
"DE000C0Y3WU8","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,317.5,"Put",,1,2396446,2017-07-28,11:00,5.41,5.45,5.41,5.45,3,3
"DE000C0YK6S8","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,320,"Call",,1,2404918,2017-07-28,11:00,0.52,0.52,0.52,0.52,30,10
"DE000C0YK6T6","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,320,"Put",,1,2404919,2017-07-28,11:00,7.37,7.37,7.37,7.37,1,1
"DE000C0YSCN7","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,322.5,"Call",,1,2408454,2017-07-28,11:00,0.24,0.24,0.24,0.24,38,10
