ISIN,MarketSegment,UnderlyingSymbol,UnderlyingISIN,Currency,SecurityType,MaturityDate,StrikePrice,PutOrCall,MLEG,ContractGenerationNumber,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,NumberOfContracts,NumberOfTrades
"CH0652098549","ZURN","ZURN","CH0011075394","CHF","OPT",20171215,280,"Call",,5,292754,2017-07-28,10:00,17.69,17.69,17.69,17.69,10,5
"DE000C0BRK71","BMW","BMW","DE0005190003","EUR","OPT",20170915,80,"Call",,5,2031932,2017-07-28,10:00,1.22,1.22,1.22,1.22,1,1
"DE000C0C3AK1","FMIN","MIN","XC000A1XQ6G9","USD","FUT",20170918,,,,,2045034,2017-07-28,10:00,648,648,648,648,5,1
"DE000C0C9YG6","ADS","ADS","DE000A1EWWW0","EUR","OPT",20170915,200,"Call",,3,2053778,2017-07-28,10:00,2.7,2.76,2.67,2.67,106,10
"DE000C0HRXL4","FBON",,,"EUR","FUT",20170907,,,,,2150974,2017-07-28,10:00,138.23,138.25,138.21,138.21,25,9
"DE000C0HRXN0","FBTP",,,"EUR","FUT",20170907,,,,,2150976,2017-07-28,10:00,135.34,135.38,135.34,135.35,328,106
"DE000C0HRXP5","FBTS",,,"EUR","FUT",20170907,,,,,2150977,2017-07-28,10:00,112.89,112.89,112.89,112.89,601,6
"DE000C0HRXQ3","FGBL",,,"EUR","FUT",20170907,,,,,2150978,2017-07-28,10:00,161.43,161.46,161.39,161.39,5144,385
"DE000C0HRXR1","FGBM",,,"EUR","FUT",20170907,,,,,2150979,2017-07-28,10:00,131.89,131.89,131.88,131.88,1739,91
"DE000C0HRXS9","FGBS",,,"EUR","FUT",20170907,,,,,2150980,2017-07-28,10:00,112.025,112.025,112.025,112.025,111,3
"DE000C0HRXT7","FGBX",,,"EUR","FUT",20170907,,,,,2150981,2017-07-28,10:00,160.38,160.42,160.3,160.32,247,98
"DE000C0HRXV3","FOAT",,,"EUR","FUT",20170907,,,,,2150983,2017-07-28,10:00,148.14,148.16,148.11,148.11,782,116
"DE000C0JK5K6","FDAX","DAX","DE0008469008","EUR","FUT",20170915,,,,,2163021,2017-07-28,10:00,12115.5,12117,12112.5,12114,111,76
"DE000C0JK5P5","FDXM","DAX","DE0008469008","EUR","FUT",20170915,,,,,2163025,2017-07-28,10:00,12116,12117,12112,12114,22,16
"DE000C0JK5V3","FESB","SX7E","EU0009658426","EUR","FUT",20170915,,,,,2163031,2017-07-28,10:00,135.5,135.5,135.5,135.5,9,2
"DE000C0JK6C1","FESX","SX5E","EU0009658145","EUR","FUT",20170915,,,,,2163048,2017-07-28,10:00,3448,3450,3448,3449,665,29
"DE000C0JK750","FSMI","SMI","CH0009980894","CHF","FUT",20170915,,,,,2163075,2017-07-28,10:00,8979,8980,8978,8978,37,20
"DE000C0JK776","FSTA","SXAP","EU0009658681","EUR","FUT",20170915,,,,,2163077,2017-07-28,10:00,530.1,530.1,530.1,530.1,1,1
"DE000C0JK784","FSTB","SX7P","EU0009658806","EUR","FUT",20170915,,,,,2163078,2017-07-28,10:00,186.4,186.4,186.4,186.4,2,1
"DE000C0JK7R7","FSTX","SX5P","EU0009658160","EUR","FUT",20170915,,,,,2163095,2017-07-28,10:00,3071,3071,3071,3071,1,1
"DE000C0KMAP8","FVS","V2TX","DE000A0C3QF1","EUR","FUT",20170816,,,,,2195792,2017-07-28,10:00,14.85,14.85,14.85,14.85,78,4
"DE000C0LT9S8","ODAX","DAX","DE0008469008","EUR","OPT",20170915,12100,"Put",,1,2216920,2017-07-28,10:00,224,224,224,224,50,1
"DE000C0P23D2","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,275,"Put",,1,2262041,2017-07-28,10:00,0.03,0.03,0.03,0.03,5,1
"DE000C0P23Q4","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,287.5,"Put",,1,2262051,2017-07-28,10:00,0.12,0.12,0.12,0.12,5,2
"DE000C0P23X0","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,295,"Put",,1,2262057,2017-07-28,10:00,0.26,0.26,0.26,0.26,1,1
"DE000C0QPTZ7","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,302.5,"Put",,1,2285615,2017-07-28,10:00,0.62,0.62,0.62,0.62,7,3
"DE000C0R38X4","OGBL","FGBL","DE0009652644","EUR","OPT",20170825,162,"Put",,1,2291815,2017-07-28,10:00,1.07,1.07,1.07,1.07,1,1
"DE000C0SX8D9","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,305,"Put",,1,2314670,2017-07-28,10:00,0.86,0.86,0.86,0.86,7,5
"DE000C0SZVL8","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,307.5,"Put",,1,2315171,2017-07-28,10:00,1.23,1.23,1.23,1.23,3,3
"DE000C0T5Y20","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,310,"Put",,1,2316711,2017-07-28,10:00,1.77,1.77,1.76,1.77,22,11
"DE000C0TM2M5","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,312.5,"Put",,1,2320288,2017-07-28,10:00,2.59,2.6,2.59,2.6,8,3
"DE000C0UAR13","DBK","DBK","DE0005140008","EUR","OPT",20180615,14,"Call",,6,2337985,2017-07-28,10:00,2.44,2.44,2.44,2.44,2,1
"DE000C0UASN9","DBK","DBK","DE0005140008","EUR","OPT",20181221,14,"Put",,6,2338004,2017-07-28,10:00,1.52,1.52,1.52,1.52,100,2
"DE000C0UCBA8","DBK","DBK","DE0005140008","EUR","OPT",20190621,12,"Put",,6,2338018,2017-07-28,10:00,1.18,1.18,1.18,1.18,90,1
"DE000C0UCDC0","DBK","DBK","DE0005140008","EUR","OPT",20190621,14,"Put",,6,2338020,2017-07-28,10:00,1.96,1.96,1.96,1.96,80,1
"DE000C0ULMU4","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,315,"Call",,1,2339398,2017-07-28,10:00,1.93,1.93,1.93,1.93,1,1
"DE000C0ULMV2","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,315,"Put",,1,2339399,2017-07-28,10:00,3.76,3.76,3.76,3.76,1,1
"DE000C0Y3WT0","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,317.5,"Call",,1,2396445,2017-07-28,10:00,1.03,1.03,1.03,1.03,3,3
"DE000C0YK6S8","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,320,"Call",,1,2404918,2017-07-28,10:00,0.5,0.5,0.5,0.5,11,4
"DE000C0Z00E7","OESX","SX5E","EU0009658145","EUR","OPT",20170818,3500,"Call",,1,2413861,2017-07-28,10:00,18,18,18,18,1,1
"DE000C0Z00J6","OESX","SX5E","EU0009658145","EUR","OPT",20170818,3550,"Call",,1,2413865,2017-07-28,10:00,6,6,6,6,30,2
"DE000C0Z49H7","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,325,"Call",,1,2416017,2017-07-28,10:00,0.11,0.11,0.11,0.11,2,2
"DE000C009KA8","ODAX","DAX","DE0008469008","EUR","OPT",20170818,12350,"Call",,1,2432301,2017-07-28,10:00,47,47,47,47,3,1
"DE000C00EJU2","DBK","DBK","DE0005140008","EUR","OPT",20170818,15,"Put",,6,2436464,2017-07-28,10:00,0.2,0.2,0.2,0.2,515,1
"DE000C00V769","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,332.5,"Call",,1,2448301,2017-07-28,10:00,0.02,0.02,0.02,0.02,2,2
"DE000C02R300","ADS","ADS","DE000A1EWWW0","EUR","OPT",20170915,195,"Call",,3,2484026,2017-07-28,10:00,4.51,4.51,4.51,4.51,54,2
"DE000C03M8V9","ODX4","DAX","DE0008469008","EUR","OPT",20170728,12400,"Put",,1,2511328,2017-07-28,10:00,278,278,278,278,400,1
"DE000C03RVU3","OGBL","FGBL","DE0009652644","EUR","OPT",20170922,160,"Put",,1,2515141,2017-07-28,10:00,1.93,1.93,1.93,1.93,1,1
"DE000C04LWU2","OES1","SX5E","EU0009658145","EUR","OPT",20170804,3500,"Call",,1,2532625,2017-07-28,10:00,5.6,6,5.6,6,60,2
"DE000C04S9P2","OES1","SX5E","EU0009658145","EUR","OPT",20170804,2800,"Put",,1,2537301,2017-07-28,10:00,0.1,0.1,0.1,0.1,500,1
"DE000C0518X6","OES2","SX5E","EU0009658145","EUR","OPT",20170811,3350,"Call",,1,2541846,2017-07-28,10:00,110.6,110.6,110.6,110.6,19,1
"DE000C065RE7","OSMI","SMI","CH0009980894","CHF","OPT",20171020,7500,"Put",,1,2572470,2017-07-28,10:00,12.2,12.2,12.2,12.2,15,1
"DE000C0M7Z06","FVS","V2TX","DE000A0C3QF1","EUR","MLEG",,,,"FVS.S.AUG17.SEP17",,72061120206078301,2017-07-28,10:00,-1,-1,-1,-1,1,1
"DE000F4ABC46","FEXD",,,"EUR","FUT",20171215,,,,,963,2017-07-28,10:01,116.8,116.8,116.8,116.8,667,1
"CH0652098549","ZURN","ZURN","CH0011075394","CHF","OPT",20171215,280,"Call",,5,292754,2017-07-28,10:01,17.68,17.68,17.68,17.68,10,5
"DE000C930XF7","SNW","SNW","FR0000120578","EUR","OPT",20181221,88,"Call",,1,678656,2017-07-28,10:01,3.53,3.53,3.53,3.53,12,1
"DE000C9B1AP6","SNW","SNW","FR0000120578","EUR","OPT",20180615,88,"Call",,1,1310203,2017-07-28,10:01,2.45,2.45,2.45,2.45,24,2
"DE000C8EWGW6","ADS","ADS","DE000A1EWWW0","EUR","OPT",20171215,200,"Call",,3,1811588,2017-07-28,10:01,6.21,6.21,6.21,6.21,5,1
"DE000C0BNMQ8","OESX","SX5E","EU0009658145","EUR","OPT",20170915,3200,"Put",,1,2028765,2017-07-28,10:01,14,14,14,14,8,1
"DE000C0BNMW6","OESX","SX5E","EU0009658145","EUR","OPT",20170915,3350,"Put",,1,2028771,2017-07-28,10:01,34.4,34.4,34.4,34.4,4,2
"DE000C0BNN56","OESX","SX5E","EU0009658145","EUR","OPT",20170915,3600,"Call",,1,2028780,2017-07-28,10:01,10.6,10.6,10.6,10.6,109,1
"DE000C0BRKB5","BMW","BMW","DE0005190003","EUR","OPT",20170915,88,"Call",,5,2031936,2017-07-28,10:01,0.1,0.1,0.1,0.1,2,1
"DE000C0C3A67","FMEU","MEU","XC000A0V8QL3","EUR","FUT",20170918,,,,,2045021,2017-07-28,10:01,208.6,208.6,208.6,208.6,3,1
"DE000C0C9YG6","ADS","ADS","DE000A1EWWW0","EUR","OPT",20170915,200,"Call",,3,2053778,2017-07-28,10:01,2.73,2.73,2.7,2.7,11,2
"DE000C0HRXN0","FBTP",,,"EUR","FUT",20170907,,,,,2150976,2017-07-28,10:01,135.34,135.39,135.32,135.38,303,72
"DE000C0HRXP5","FBTS",,,"EUR","FUT",20170907,,,,,2150977,2017-07-28,10:01,112.89,112.89,112.89,112.89,3,2
"DE000C0HRXQ3","FGBL",,,"EUR","FUT",20170907,,,,,2150978,2017-07-28,10:01,161.39,161.43,161.37,161.43,2415,203
"DE000C0HRXR1","FGBM",,,"EUR","FUT",20170907,,,,,2150979,2017-07-28,10:01,131.88,131.89,131.88,131.89,1564,57
"DE000C0HRXS9","FGBS",,,"EUR","FUT",20170907,,,,,2150980,2017-07-28,10:01,112.03,112.03,112.025,112.025,6,2
"DE000C0HRXT7","FGBX",,,"EUR","FUT",20170907,,,,,2150981,2017-07-28,10:01,160.3,160.34,160.24,160.32,153,46
"DE000C0HRXV3","FOAT",,,"EUR","FUT",20170907,,,,,2150983,2017-07-28,10:01,148.12,148.14,148.08,148.14,336,54
"DE000C0JK5E9","F2MX","MDAX","DE0008467416","EUR","FUT",20170915,,,,,2163016,2017-07-28,10:01,24618,24618,24618,24618,4,3
"DE000C0JK5K6","FDAX","DAX","DE0008469008","EUR","FUT",20170915,,,,,2163021,2017-07-28,10:01,12113,12114.5,12110.5,12112,110,88
"DE000C0JK5P5","FDXM","DAX","DE0008469008","EUR","FUT",20170915,,,,,2163025,2017-07-28,10:01,12113,12113,12110,12111,36,23
"DE000C0JK5V3","FESB","SX7E","EU0009658426","EUR","FUT",20170915,,,,,2163031,2017-07-28,10:01,135.5,135.5,135.5,135.5,7,1
"DE000C0JK6C1","FESX","SX5E","EU0009658145","EUR","FUT",20170915,,,,,2163048,2017-07-28,10:01,3449,3450,3448,3449,2135,91
"DE000C0JK750","FSMI","SMI","CH0009980894","CHF","FUT",20170915,,,,,2163075,2017-07-28,10:01,8978,8978,8977,8977,22,13
"DE000C0JK776","FSTA","SXAP","EU0009658681","EUR","FUT",20170915,,,,,2163077,2017-07-28,10:01,529.9,529.9,529.9,529.9,1,1
"DE000C0JK784","FSTB","SX7P","EU0009658806","EUR","FUT",20170915,,,,,2163078,2017-07-28,10:01,186.3,186.3,186.3,186.3,2,1
"DE000C0JK792","FSTC","SX4P","EU0009658608","EUR","FUT",20170915,,,,,2163079,2017-07-28,10:01,874.2,874.2,874.2,874.2,3,1
"DE000C0JK7H8","FSTM","SXMP","EU0009658640","EUR","FUT",20170915,,,,,2163087,2017-07-28,10:01,273,273,273,273,1,1
"DE000C0JK7P1","FSTU","SX6P","EU0009658962","EUR","FUT",20170915,,,,,2163093,2017-07-28,10:01,288,288,288,288,1,1
"DE000C0JK7R7","FSTX","SX5P","EU0009658160","EUR","FUT",20170915,,,,,2163095,2017-07-28,10:01,3071,3071,3071,3071,1,1
"DE000C0JK7X5","FXXP","SXXP","EU0009658202","EUR","FUT",20170915,,,,,2163101,2017-07-28,10:01,376.7,376.7,376.7,376.7,9,1
"DE000C0KMAP8","FVS","V2TX","DE000A0C3QF1","EUR","FUT",20170816,,,,,2195792,2017-07-28,10:01,14.85,14.9,14.85,14.9,156,2
"DE000C0P23Q4","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,287.5,"Put",,1,2262051,2017-07-28,10:01,0.12,0.12,0.12,0.12,11,1
"DE000C0P23S0","OKS2","FKS2","XC0009664639","KRW","OPT",20170810,290,"Put",,1,2262053,2017-07-28,10:01,0.16,0.16,0.16,0.16,41,3
