ISIN,MarketSegment,UnderlyingSymbol,UnderlyingISIN,Currency,SecurityType,MaturityDate,StrikePrice,PutOrCall,MLEG,ContractGenerationNumber,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,NumberOfContracts,NumberOfTrades
"DE000P0XBBP7","OESX","SX5E","EU0009658145","EUR","OPT",20171215,3200,"Put",,1,27100,2017-07-28,15:00,48.5,48.5,48.5,48.5,150,3
"DE000C92UYG3","CFR","CFR","CH0210483332","CHF","OPT",20171215,84,"Call",,1,501701,2017-07-28,15:00,2.76,2.76,2.76,2.76,11,1
"DE000P98SK44","OESX","SX5E","EU0009658145","EUR","OPT",20171215,3250,"Put",,1,1064981,2017-07-28,15:00,58,58,58,58,5,1
"DE000C0A5D82","BNPH","BNP","FR0000131104","EUR","FUT",20170818,,,,,1947170,2017-07-28,15:00,66.1696,66.17,66.1696,66.1696,13,2
"DE000C0BNMY2","OESX","SX5E","EU0009658145","EUR","OPT",20170915,3400,"Put",,1,2028773,2017-07-28,15:00,44,44,44,44,200,2
"DE000C0BNN31","OESX","SX5E","EU0009658145","EUR","OPT",20170915,3550,"Call",,1,2028778,2017-07-28,15:00,22.3,22.3,22.3,22.3,5,1
"DE000C0BNN56","OESX","SX5E","EU0009658145","EUR","OPT",20170915,3600,"Call",,1,2028780,2017-07-28,15:00,10.4,10.4,10.4,10.4,1,1
"DE000C0BNN72","OESX","SX5E","EU0009658145","EUR","OPT",20170915,3650,"Call",,1,2028782,2017-07-28,15:00,4.2,4.2,4.2,4.2,53,1
"DE000C0C3GF8","ODAX","DAX","DE0008469008","EUR","OPT",20170915,12400,"Put",,1,2045234,2017-07-28,15:00,360,360,360,360,1,1
"DE000C0HRXN0","FBTP",,,"EUR","FUT",20170907,,,,,2150976,2017-07-28,15:00,135.8,135.8,135.78,135.79,100,30
"DE000C0HRXQ3","FGBL",,,"EUR","FUT",20170907,,,,,2150978,2017-07-28,15:00,161.85,161.85,161.82,161.83,1228,102
"DE000C0HRXR1","FGBM",,,"EUR","FUT",20170907,,,,,2150979,2017-07-28,15:00,132.06,132.06,132.05,132.05,584,20
"DE000C0HRXS9","FGBS",,,"EUR","FUT",20170907,,,,,2150980,2017-07-28,15:00,112.07,112.075,112.065,112.07,4443,26
"DE000C0HRXT7","FGBX",,,"EUR","FUT",20170907,,,,,2150981,2017-07-28,15:00,161.38,161.38,161.34,161.34,48,18
"DE000C0HRXV3","FOAT",,,"EUR","FUT",20170907,,,,,2150983,2017-07-28,15:00,148.63,148.63,148.61,148.63,176,25
"DE000C0JK5G4","FATX","ATX","AT0000999982","EUR","FUT",20170915,,,,,2163018,2017-07-28,15:00,3222,3222,3222,3222,1,1
"DE000C0JK5K6","FDAX","DAX","DE0008469008","EUR","FUT",20170915,,,,,2163021,2017-07-28,15:00,12138,12145.5,12136,12144.5,176,126
"DE000C0JK5P5","FDXM","DAX","DE0008469008","EUR","FUT",20170915,,,,,2163025,2017-07-28,15:00,12137,12146,12137,12144,81,52
"DE000C0JK5V3","FESB","SX7E","EU0009658426","EUR","FUT",20170915,,,,,2163031,2017-07-28,15:00,136,136.2,136,136.1,484,31
"DE000C0JK6C1","FESX","SX5E","EU0009658145","EUR","FUT",20170915,,,,,2163048,2017-07-28,15:00,3454,3457,3453,3456,1982,103
"DE000C0JK750","FSMI","SMI","CH0009980894","CHF","FUT",20170915,,,,,2163075,2017-07-28,15:00,9011,9016,9011,9015,99,39
"DE000C0JK768","FSMM","SMIM","CH0019399838","CHF","FUT",20170915,,,,,2163076,2017-07-28,15:00,2365,2365,2365,2365,1,1
"DE000C0JK784","FSTB","SX7P","EU0009658806","EUR","FUT",20170915,,,,,2163078,2017-07-28,15:00,186.5,186.7,186.5,186.7,18,11
"DE000C0JK7B1","FSTE","SXEP","EU0009658780","EUR","FUT",20170915,,,,,2163081,2017-07-28,15:00,288.3,288.3,288.3,288.3,2,2
"DE000C0JK7H8","FSTM","SXMP","EU0009658640","EUR","FUT",20170915,,,,,2163087,2017-07-28,15:00,273.7,273.7,273.7,273.7,1,1
"DE000C0JK7R7","FSTX","SX5P","EU0009658160","EUR","FUT",20170915,,,,,2163095,2017-07-28,15:00,3067,3067,3067,3067,2,1
"DE000C0JK7V9","FTDX","TDXP","DE0007203275","EUR","FUT",20170915,,,,,2163099,2017-07-28,15:00,2251,2251,2251,2251,9,1
"DE000C0JK7X5","FXXP","SXXP","EU0009658202","EUR","FUT",20170915,,,,,2163101,2017-07-28,15:00,376.6,376.8,376.6,376.8,680,26
