Date,Weekday,Status,EMDI,RDI,BINS,Comment
2015-05-17,Sun,No trading day,Not available,Not available,Not available,
2015-05-18,Mon,Normal trading day,Available,Available,Available,
2015-05-19,Tue,Normal trading day,Available,Available,Available,
2015-05-20,Wed,Normal trading day,Available,Available,Available,
2015-05-21,Thu,Normal trading day,Available,Available,Available,
2015-05-22,Fri,Normal trading day,Available,Available,Available,
2015-05-23,Sat,No trading day,Not available,Not available,Not available,
2015-05-24,Sun,No trading day,Not available,Not available,Not available,
2015-05-25,Mon,Normal trading day,Available,Available,Not available,"Technical Issue, Currently under investigations"
2015-05-26,Tue,Normal trading day,Available,Available,Available,
2015-05-27,Wed,Normal trading day,Available,Available,Available,
2015-05-28,Thu,Normal trading day,Available,Available,Available,
2015-05-29,Fri,Normal trading day,Available,Available,Available,
2015-05-30,Sat,No trading day,Not available,Not available,Not available,
2015-05-31,Sun,No trading day,Not available,Not available,Not available,
2015-06-01,Mon,Normal trading day,Available,Available,Available,
2015-06-02,Tue,Normal trading day,Available,Available,Available,
2015-06-03,Wed,Normal trading day,Available,Available,Available,
2015-06-04,Thu,Normal trading day,Available,Available,Available,
2015-06-05,Fri,Normal trading day,Available,Available,Available,
2015-06-06,Sat,No trading day,Not available,Not available,Not available,
2015-06-07,Sun,No trading day,Not available,Not available,Not available,
