Date,Weekday,Status,EMDI,RDI,BINS,Comment
2014-05-06,Tue,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2014-05-07,Wed,Normal trading day,Available,Available,Available,
2014-05-08,Thu,Normal trading day,Available,Available,Available,
2014-05-09,Fri,Normal trading day,Available,Available,Available,
2014-05-10,Sat,No trading day,Not available,Not available,Not available,
2014-05-11,Sun,No trading day,Not available,Not available,Not available,
2014-05-12,Mon,Normal trading day,Available,Available,Available,
2014-05-13,Tue,Normal trading day,Available,Available,Available,
2014-05-14,Wed,Normal trading day,Available,Available,Available,
2014-05-15,Thu,Normal trading day,Available,Available,Available,
2014-05-16,Fri,Normal trading day,Available,Available,Available,
2014-05-17,Sat,No trading day,Not available,Not available,Not available,
2014-05-18,Sun,No trading day,Not available,Not available,Not available,
2014-05-19,Mon,Normal trading day,Available,Available,Available,
2014-05-20,Tue,Normal trading day,Available,Available,Available,
2014-05-21,Wed,Normal trading day,Available,Available,Available,
2014-05-22,Thu,Normal trading day,Available,Available,Available,
2014-05-23,Fri,Normal trading day,Available,Available,Available,
2014-05-24,Sat,No trading day,Not available,Not available,Not available,
2014-05-25,Sun,No trading day,Not available,Not available,Not available,
2014-05-26,Mon,Normal trading day,Available,Available,Available,"Missing sequences, further investigation required"
2014-05-27,Tue,Normal trading day,Available,Available,Available,
2014-05-28,Wed,Normal trading day,Available,Available,Available,
2014-05-29,Thu,Normal trading day,Available,Available,Available,
2014-05-30,Fri,Normal trading day,Available,Available,Available,
2014-05-31,Sat,No trading day,Not available,Not available,Not available,
2014-06-01,Sun,No trading day,Not available,Not available,Not available,
2014-06-02,Mon,Normal trading day,Available,Available,Available,
2014-06-03,Tue,Normal trading day,Available,Available,Available,
2014-06-04,Wed,Normal trading day,Available,Available,Available,
2014-06-05,Thu,Normal trading day,Available,Available,Available,
2014-06-06,Fri,Normal trading day,Available,Available,Available,
2014-06-07,Sat,No trading day,Not available,Not available,Not available,
2014-06-08,Sun,No trading day,Not available,Not available,Not available,
2014-06-09,Mon,Normal trading day,Available,Available,Available,
2014-06-10,Tue,Normal trading day,Available,Available,Available,
2014-06-11,Wed,Normal trading day,Available,Available,Available,
2014-06-12,Thu,Normal trading day,Available,Available,Available,
2014-06-13,Fri,Normal trading day,Available,Available,Available,
2014-06-14,Sat,No trading day,Not available,Not available,Not available,
2014-06-15,Sun,No trading day,Not available,Not available,Not available,
2014-06-16,Mon,Normal trading day,Available,Available,Available,
2014-06-17,Tue,Normal trading day,Available,Available,Available,
2014-06-18,Wed,Normal trading day,Available,Available,Available,
2014-06-19,Thu,Normal trading day,Available,Available,Available,
2014-06-20,Fri,Normal trading day,Available,Available,Available,
2014-06-21,Sat,No trading day,Not available,Not available,Not available,
2014-06-22,Sun,No trading day,Not available,Not available,Not available,
2014-06-23,Mon,Normal trading day,Available,Available,Available,
2014-06-24,Tue,Normal trading day,Available,Available,Available,
2014-06-25,Wed,Normal trading day,Available,Available,Available,
2014-06-26,Thu,Normal trading day,Available,Available,Available,
2014-06-27,Fri,Normal trading day,Available,Available,Available,
2014-06-28,Sat,No trading day,Not available,Not available,Not available,
2014-06-29,Sun,No trading day,Not available,Not available,Not available,
2014-06-30,Mon,Normal trading day,Available,Available,Available,
2014-07-01,Tue,Normal trading day,Available,Available,Available,
2014-07-02,Wed,Normal trading day,Available,Available,Available,
2014-07-03,Thu,Normal trading day,Available,Available,Available,
2014-07-04,Fri,Normal trading day,Available,Available,Available,
2014-07-05,Sat,No trading day,Not available,Not available,Not available,
2014-07-06,Sun,No trading day,Not available,Not available,Not available,
2014-07-07,Mon,Normal trading day,Available,Available,Available,
2014-07-08,Tue,Normal trading day,Available,Available,Available,
2014-07-09,Wed,Normal trading day,Available,Available,Available,
2014-07-10,Thu,Normal trading day,Available,Available,Available,
2014-07-11,Fri,Normal trading day,Available,Available,Available,
2014-07-12,Sat,No trading day,Not available,Not available,Not available,
2014-07-13,Sun,No trading day,Not available,Not available,Not available,
2014-07-14,Mon,Normal trading day,Available,Available,Available,
2014-07-15,Tue,Normal trading day,Available,Available,Available,
2014-07-16,Wed,Normal trading day,Available,Available,Available,
2014-07-17,Thu,Normal trading day,Available,Available,Available,
2014-07-18,Fri,Normal trading day,Available,Available,Available,
2014-07-19,Sat,No trading day,Not available,Not available,Not available,
2014-07-20,Sun,No trading day,Not available,Not available,Not available,
2014-07-21,Mon,Normal trading day,Available,Available,Available,
2014-07-22,Tue,Normal trading day,Available,Available,Available,
2014-07-23,Wed,Normal trading day,Available,Available,Available,
2014-07-24,Thu,Normal trading day,Available,Available,Available,
2014-07-25,Fri,Normal trading day,Available,Available,Available,
2014-07-26,Sat,No trading day,Not available,Not available,Not available,
2014-07-27,Sun,No trading day,Not available,Not available,Not available,
2014-07-28,Mon,Normal trading day,Available,Available,Available,
2014-07-29,Tue,Normal trading day,Available,Available,Available,
2014-07-30,Wed,Normal trading day,Available,Available,Available,
2014-07-31,Thu,Normal trading day,Available,Available,Available,
2014-08-01,Fri,Normal trading day,Available,Available,Available,
2014-08-02,Sat,No trading day,Not available,Not available,Not available,
2014-08-03,Sun,No trading day,Not available,Not available,Not available,
2014-08-04,Mon,Normal trading day,Available,Not available,Not available,"Technical Issue, Currently under investigations"
2014-08-05,Tue,Normal trading day,Available,Available,Available,
2014-08-06,Wed,Normal trading day,Available,Available,Available,
2014-08-07,Thu,Normal trading day,Available,Available,Available,
2014-08-08,Fri,Normal trading day,Available,Available,Available,
2014-08-09,Sat,No trading day,Not available,Not available,Not available,
2014-08-10,Sun,No trading day,Not available,Not available,Not available,
2014-08-11,Mon,Normal trading day,Available,Available,Available,
2014-08-12,Tue,Normal trading day,Available,Available,Available,
2014-08-13,Wed,Normal trading day,Available,Available,Available,
2014-08-14,Thu,Normal trading day,Available,Available,Available,
2014-08-15,Fri,Normal trading day,Available,Available,Available,
2014-08-16,Sat,No trading day,Not available,Not available,Not available,
2014-08-17,Sun,No trading day,Not available,Not available,Not available,
2014-08-18,Mon,Normal trading day,Available,Available,Available,
2014-08-19,Tue,Normal trading day,Available,Available,Available,
2014-08-20,Wed,Normal trading day,Available,Available,Available,
2014-08-21,Thu,Normal trading day,Available,Available,Available,
2014-08-22,Fri,Normal trading day,Available,Available,Available,
2014-08-23,Sat,No trading day,Not available,Not available,Not available,
2014-08-24,Sun,No trading day,Not available,Not available,Not available,
2014-08-25,Mon,Normal trading day,Available,Available,Available,
2014-08-26,Tue,Normal trading day,Available,Available,Available,
2014-08-27,Wed,Normal trading day,Available,Available,Available,
2014-08-28,Thu,Normal trading day,Available,Available,Available,
2014-08-29,Fri,Normal trading day,Available,Available,Available,
2014-08-30,Sat,No trading day,Not available,Not available,Not available,
2014-08-31,Sun,No trading day,Not available,Not available,Not available,
2014-09-01,Mon,Normal trading day,Available,Available,Available,
2014-09-02,Tue,Normal trading day,Available,Available,Available,
2014-09-03,Wed,Normal trading day,Available,Available,Available,
2014-09-04,Thu,Normal trading day,Available,Available,Available,
2014-09-05,Fri,Normal trading day,Available,Available,Available,
2014-09-06,Sat,No trading day,Not available,Not available,Not available,
2014-09-07,Sun,No trading day,Not available,Not available,Not available,
2014-09-08,Mon,Normal trading day,Available,Available,Available,
2014-09-09,Tue,Normal trading day,Available,Available,Available,
2014-09-10,Wed,Normal trading day,Available,Available,Available,
2014-09-11,Thu,Normal trading day,Available,Available,Available,
2014-09-12,Fri,Normal trading day,Available,Available,Available,
2014-09-13,Sat,No trading day,Not available,Not available,Not available,
